date,close
2018-02-01,51.58
2018-02-02,51.45
2018-02-05,51.51
2018-02-06,51.46
2018-02-07,51.12
2018-02-08,51.31
2018-02-09,51.48
2018-02-12,51.77
2018-02-13,51.98
2018-02-14,52.12
2018-02-15,52
2018-02-19,52.34
2018-02-20,52.24
2018-02-21,52.1
2018-02-22,52.1
2018-02-23,51.89
2018-02-26,51.86
2018-02-27,52.03
2018-02-28,52.1
2018-04-02,52.035
2018-04-03,52.08
2018-04-04,52.12
2018-04-05,52.115
2018-04-06,52.02
2018-04-10,52
2018-04-11,51.945
2018-04-12,52.03
2018-04-13,51.95
2018-04-16,52.07
2018-04-17,52.05
2018-04-18,52.07
2018-04-19,52.1
2018-04-20,52.095
2018-04-23,52.24
2018-04-24,52.32
2018-04-25,52.31
2018-04-26,52.15
2018-04-27,51.965
2018-04-30,51.74
2018-05-02,51.86
2018-05-03,51.67
2018-05-04,51.675
2018-05-05,51.87
2018-05-06,51.85
2018-05-09,52.015
2018-05-10,51.8
2018-05-11,52.19
2018-05-15,52.29
2018-05-16,52.285
2018-05-17,52.27
2018-05-18,52.33
2018-05-21,52.465
2018-05-22,52.195
2018-05-23,52.47
2018-05-24,52.55
2018-05-25,52.7
2018-05-28,52.49
2018-05-29,52.64
2018-05-30,52.6
2018-05-31,52.52
2018-06-01,52.55
2018-06-04,52.58
2018-06-05,52.4
2018-06-06,52.385
2018-06-07,52.49
2018-06-08,52.7
2018-06-11,52.95
2018-06-13,53.23
2018-06-14,53.27
2018-06-18,53.48
2018-06-19,53.44
2018-06-20,53.48
2018-06-21,53.46
2018-06-22,53.28
2018-06-25,53.44
2018-06-26,53.47
2018-06-27,53.475
2018-06-28,53.515
2018-06-29,53.34
2018-07-02,53.43
2018-07-03,53.375
2018-07-04,53.36
2018-07-05,53.42
2018-07-06,53.42
2018-07-09,53.4
2018-07-10,53.46
2018-07-11,53.5
2018-07-12,53.5
2018-07-13,53.51
2018-07-16,53.53
2018-07-17,53.39
2018-07-18,53.49
2018-07-19,53.53
2018-07-20,53.51
2018-07-23,53.48
2018-07-24,53.42
2018-07-25,53.37
2018-07-26,53.435
2018-07-27,53.285
2018-07-30,53.22
2018-07-31,53.095
2018-08-01,53.08
2018-08-02,53.09
2018-08-03,53.15
2018-08-06,52.85
2018-08-07,53
2018-08-08,53.07
2018-08-09,53.09
2018-08-10,53.135
2018-08-13,53.37
2018-08-14,53.39
2018-08-15,53.47
2018-08-16,53.44
2018-08-17,53.425
2018-08-20,53.38
2018-08-22,53.425
2018-08-23,53.48
2018-08-24,53.465
2018-08-28,53.325
2018-08-29,53.46
2018-08-30,53.43
2018-08-31,53.475
2018-09-03,53.46
2018-09-04,53.535
2018-09-05,53.55
2018-09-06,53.8
2018-09-07,53.73
2018-09-10,53.88
2018-09-11,53.94
2018-09-12,54.13
2018-09-13,54.07
2018-09-14,53.97
2018-09-17,54.11
2018-09-18,54.07
2018-09-19,53.99
2018-09-20,54.075
2018-09-21,54.04
2018-09-24,54.23
2018-09-25,54.31
2018-09-26,54.325
2018-09-27,54.23
2018-09-28,54.02
2018-10-01,54.11
2018-10-02,54.25
2018-10-03,54.18
2018-10-04,54.32
2018-10-05,54.23
2018-10-08,54.185
2018-10-09,54.24
2018-10-10,54.18
2018-10-11,54.18
2018-10-12,54.13
2018-10-15,54.08
2018-10-16,53.96
2018-10-17,53.89
2018-10-18,53.965
2018-10-19,53.7
2018-10-22,53.79
2018-10-23,53.815
2018-10-24,53.725
2018-10-25,53.8
2018-10-26,53.64
2018-10-29,53.56
2018-10-30,53.59
2018-10-31,53.535
2018-11-05,53.22
2018-11-06,53.025
2018-11-07,52.95
2018-11-08,52.57
2018-11-09,52.96
2018-11-12,53.295
2018-11-13,53.1
2018-11-14,53.09
2018-11-15,52.805
2018-11-16,52.715
2018-11-19,52.57
2018-11-20,52.39
2018-11-21,52.35
2018-11-22,52.41
2018-11-23,52.45
2018-11-26,52.35
2018-11-27,52.605
2018-11-28,52.585
2018-11-29,52.45
2018-12-03,52.32
2018-12-04,52.52
2018-12-05,52.74
2018-12-06,52.76
2018-12-07,52.71
2018-12-10,52.8
2018-12-11,52.77
2018-12-12,52.715
2018-12-13,52.62
2018-12-14,52.88
2018-12-17,52.98
2018-12-18,53.07
2018-12-19,53.07
2018-12-20,53.1
2018-12-21,52.86
2018-12-27,52.665
2018-12-28,52.58
2019-01-02,52.515
2019-01-03,52.65
2019-01-04,52.51
2019-01-07,52.38
2019-01-08,52.47
2019-01-09,52.345
2019-01-10,52.225
2019-01-11,52.14
2019-01-14,52.26
2019-01-15,52.03
2019-01-16,52.13
2019-01-17,52.41
2019-01-18,52.515
2019-01-21,52.8
2019-01-22,52.93
2019-01-23,52.75
2019-01-24,52.86
2019-01-25,52.535
2019-01-28,52.57
2019-01-29,52.43
2019-01-30,52.345
2019-01-31,52.12
2019-02-01,52.23
2019-02-04,52.41
2019-02-06,52.235
2019-02-07,52.24
2019-02-08,52.07
2019-02-11,52.11
2019-02-12,52.075
2019-02-13,52.13
2019-02-14,52.38
2019-02-15,52.43
2019-02-18,52.33
2019-02-19,52.21
2019-02-20,52.06
2019-02-21,52.13
2019-02-22,52.065
2019-02-26,52.025
2019-02-27,51.91
2019-02-28,51.7
2019-03-01,51.7
2019-03-04,51.72
2019-03-05,52.24
2019-03-06,52.165
2019-03-07,52.15
2019-03-08,52.25
2019-03-11,52.2
2019-03-12,52.7
2019-03-13,52.55
2019-03-14,52.6
2019-03-15,52.65
2019-03-18,52.65
2019-03-19,52.83
2019-03-20,52.81
2019-03-21,52.84
2019-03-22,52.32
2019-03-25,52.52
2019-03-26,52.445
2019-03-27,52.61
2019-03-28,52.75
2019-03-29,52.5
2019-04-01,52.505
2019-04-02,52.44
2019-04-03,52.08
2019-04-04,52.18
2019-04-05,52.1
2019-04-08,52.14
2019-04-10,51.9
2019-04-11,51.835
2019-04-12,51.765
2019-04-15,51.64
2019-04-16,51.765
2019-04-17,51.765
2019-04-22,52.04
2019-04-24,52.23
2019-04-25,52.14
2019-04-26,52.18
2019-04-29,52.11
2019-04-30,52.105
2019-05-02,51.87
2019-05-03,51.85
2019-05-06,51.925
2019-05-07,51.865
2019-05-08,52.11
2019-05-09,52.3
2019-05-10,52.12
2019-05-14,52.435
2019-05-15,52.35
2019-05-16,52.48
2019-05-17,52.63
2019-05-20,52.59
2019-05-21,52.475
2019-05-22,52.53
2019-05-23,52.5
2019-05-24,52.16
2019-05-27,52.22
2019-05-28,52.3
2019-05-29,52.35
2019-05-30,52.19
2019-05-31,52.16
2019-06-03,51.91
2019-06-04,51.78
2019-06-06,51.74
2019-06-07,52.04
2019-06-10,52.1
2019-06-11,51.85
2019-06-13,51.865
2019-06-14,52.02
2019-06-17,52.145
2019-06-18,51.99
2019-06-19,51.89
2019-06-20,51.645
2019-06-21,51.57
2019-06-24,51.39
2019-06-25,51.365
2019-06-26,51.5
2019-06-27,51.27
2019-06-28,51.24
2019-07-01,51.05
2019-07-02,51.11
2019-07-03,51.16
2019-07-04,51.13
2019-07-05,51.195
2019-07-08,51.32
2019-07-09,51.31
2019-07-10,51.46
2019-07-11,51.19
2019-07-12,51.13
2019-07-15,51
2019-07-16,50.9
2019-07-17,51.13
2019-07-18,50.97
2019-07-19,51.04
2019-07-22,51.076
2019-07-23,51.135
2019-07-24,51.175
2019-07-25,51.11
2019-07-26,51.055
2019-07-29,51.09
2019-07-30,50.89
2019-07-31,50.89
2019-08-01,51.2
2019-08-02,51.43
2019-08-05,51.79
2019-08-06,51.955
2019-08-07,52.32
2019-08-08,52.04
2019-08-09,51.88
2019-08-13,52.46
2019-08-14,52.28
2019-08-15,52.545
2019-08-16,52.44
2019-08-19,52.31
2019-08-20,52.29
2019-08-22,52.255
2019-08-23,52.27
2019-08-27,52.26
2019-08-28,52.321
2019-08-29,52.18
2019-08-30,52.05
2019-09-02,52.105
2019-09-03,52.31
2019-09-04,51.935
2019-09-05,52.01
2019-09-06,51.905
2019-09-09,51.865
2019-09-10,51.98
2019-09-11,52.15
2019-09-12,51.93
2019-09-13,52.46
2019-09-13,51.91
2019-09-16,52.28
2019-09-17,52.26
2019-09-18,52.2
2019-09-19,52.18
2019-09-20,51.96
2019-09-23,52.185
2019-09-24,52.15
2019-09-25,52.211
2019-09-26,52.11
2019-09-27,51.875
2019-09-30,51.83
2019-10-01,51.93
2019-10-02,51.94
2019-10-03,51.815
2019-10-04,51.73
2019-10-07,51.86
2019-10-08,51.77
2019-10-09,51.79
2019-10-10,51.64
2019-10-11,51.58
2019-10-14,51.57
2019-10-15,51.641
2019-10-16,51.595
2019-10-17,51.42
2019-10-18,51.295
2019-10-21,51.105
2019-10-22,51.18
2019-10-23,50.97
2019-10-24,51.24
2019-10-25,51.135
2019-10-28,51.08
2019-10-29,51.09
2019-10-30,50.885
2019-10-31,50.74
2019-11-04,50.5
2019-11-05,50.41
2019-11-06,50.61
2019-11-07,50.481
2019-11-08,50.86
2019-11-11,50.86
2019-11-12,50.73
2019-11-13,50.82
2019-11-14,50.68
2019-11-15,50.65
2019-11-18,50.661
2019-11-19,50.9
2019-11-20,50.87
2019-11-21,50.865
2019-11-22,50.8
2019-11-25,50.755
2019-11-26,50.9
2019-11-27,50.8
2019-11-28,50.705
2019-11-29,50.81
2019-12-02,51.08
2019-12-03,50.951
2019-12-04,51.02
2019-12-05,50.8
2019-12-06,50.765
2019-12-09,50.77
2019-12-10,50.735
2019-12-11,50.81
2019-12-12,50.711
2019-12-13,50.64
2019-12-16,50.635
2019-12-17,50.58
2019-12-18,50.631
2019-12-19,50.635
2019-12-20,50.815
2019-12-23,50.83
2019-12-26,50.821
2019-12-27,50.635
2020-01-02,50.685
2020-01-02,50.685
2020-01-08,50.756
2020-01-09,50.651
2020-01-10,50.66
2020-01-14,50.581
2020-01-15,50.715
2020-01-16,50.831
2020-01-17,50.891
2020-01-20,50.975
2020-01-21,51.015
2020-01-22,50.91
2020-01-23,50.98
2020-01-24,50.815
2020-01-27,50.835
2020-01-28,50.75
2020-01-29,50.83
2020-01-30,50.96
2020-01-31,50.83
2020-02-03,50.8
2020-02-04,50.765
2020-02-05,50.92
2020-02-06,50.78
2020-02-07,50.755
2020-02-10,50.78
2020-02-11,50.695
2020-02-12,50.57
2020-02-13,50.5
2020-02-14,50.56
2020-02-17,50.57
2020-02-18,50.645
2020-02-19,50.58
2020-02-20,50.58
2020-02-21,50.94
2020-02-24,50.96
2020-02-26,51.035
2020-02-27,50.815
2020-02-28,50.97
2020-03-02,50.63
2020-03-03,50.69
2020-03-04,50.551
2020-03-05,50.585
2020-03-06,50.64
2020-03-09,50.58
2020-03-10,50.5
2020-03-11,50.55
2020-03-12,50.85
2020-03-13,51.03
2020-03-16,51.5
2020-03-18,51.05
2020-03-19,51.1
2020-03-20,50.97
2020-03-23,51.33
2020-03-24,50.9
2020-03-25,51.14
2020-03-26,51.07
2020-03-27,51
2020-03-30,50.96
2020-03-31,50.68
2020-04-01,50.88
2020-04-02,50.85
2020-04-03,50.72
2020-04-06,50.72
2020-04-07,50.68
2020-04-08,50.585
2020-04-13,50.595
2020-04-14,50.63
2020-04-15,50.62
2020-04-16,50.8
2020-04-17,50.9
2020-04-20,50.79
2020-04-21,50.79
2020-04-22,50.8
2020-04-23,50.67
2020-04-24,50.84
2020-04-27,50.695
2020-04-28,50.67
2020-04-29,50.51
2020-04-30,50.4
2020-05-04,50.595
2020-05-05,50.52
2020-05-06,50.46
2020-05-07,50.56
2020-05-08,50.42
2020-05-11,50.3
2020-05-12,50.31
2020-05-13,50.26
2020-05-14,50.445
2020-05-15,50.76
2020-05-18,50.9
2020-05-19,50.7
2020-05-20,50.65
2020-05-21,50.61
2020-05-22,50.7
2020-05-26,50.53
2020-05-27,50.68
2020-05-28,50.69
2020-06-01,50.32
2020-06-02,50.34
2020-06-03,50.1
2020-06-04,50
2020-06-05,49.8
2020-06-08,49.9
2020-06-09,49.95
2020-06-10,49.85
2020-06-11,50.195
2020-06-15,50.345
2020-06-16,50.07
2020-06-17,50.03
2020-06-18,50.17
2020-06-19,50.06
2020-06-22,50.14
2020-06-23,50.19
2020-06-24,49.98
2020-06-25,50
2020-06-26,49.92
2020-06-29,49.855
2020-06-30,49.83
2020-07-01,49.82
2020-07-02,49.73
2020-07-03,49.55
2020-07-06,49.381
2020-07-07,49.54
2020-07-08,49.47
2020-07-09,49.41
2020-07-10,49.485
2020-07-13,49.45
2020-07-14,49.545
2020-07-15,49.48
2020-07-16,49.535
2020-07-17,49.44
2020-07-20,49.375
2020-07-21,49.39
2020-07-22,49.375
2020-07-23,49.365
2020-07-24,49.33
2020-07-27,49.25
2020-07-28,49.19
2020-07-29,49.19
2020-07-30,49.15
2020-08-03,49.095
2020-08-04,49.095
2020-08-05,49.05
2020-08-06,49.041
2020-08-07,49.01
2020-08-10,49.01
2020-08-11,48.92
2020-08-12,48.94
2020-08-13,48.84
2020-08-14,48.765
2020-08-17,48.71
2020-08-18,48.625
2020-08-19,48.575
2020-08-20,48.68
2020-08-24,48.62
2020-08-25,48.5
2020-08-26,48.52
2020-08-27,48.63
2020-08-28,48.485
2020-09-01,48.48
2020-09-02,48.53
2020-09-03,48.58
2020-09-04,48.62
2020-09-07,48.67
2020-09-08,48.56
2020-09-09,48.66
2020-09-10,48.57
2020-09-11,48.54
2020-09-14,48.51
2020-09-15,48.4
2020-09-16,48.385
2020-09-17,48.51
2020-09-18,48.395
2020-09-21,48.365
2020-09-22,48.46
2020-09-23,48.47
2020-09-24,48.56
2020-09-25,48.46
2020-09-28,48.51
2020-09-29,48.5
2020-09-30,48.495
2020-10-01,48.43
2020-10-02,48.48
2020-10-05,48.405
2020-10-06,48.38
2020-10-07,48.39
2020-10-08,48.355
2020-10-09,48.305
2020-10-12,48.47
2020-10-13,48.535
2020-10-14,48.65
2020-10-15,48.68
2020-10-16,48.625
2020-10-19,48.6
2020-10-20,48.62
2020-10-21,48.585
2020-10-22,48.6
2020-10-23,48.48
2020-10-26,48.395
2020-10-27,48.375
2020-10-28,48.375
2020-10-29,48.39
2020-10-30,48.4
2020-11-03,48.41
2020-11-04,48.4
2020-11-05,48.31
2020-11-06,48.22
2020-11-09,48.145
2020-11-10,48.27
2020-11-11,48.27
2020-11-13,48.21
2020-11-16,48.225
2020-11-17,48.24
2020-11-18,48.22
2020-11-19,48.315
2020-11-20,48.23
2020-11-23,48.205
2020-11-24,48.145
2020-11-25,48.13
2020-11-26,48.115
2020-11-27,48.06
2020-12-02,48.05
2020-12-03,48.045
2020-12-04,48.04
2020-12-07,48.08
